LRU Cache:
	Total Size: 32768B
	Sets: 128
	Ways 4
	Line-Size: 64B
	| 51 tag bits | 7 set bits | 6 offset bits |

0: hit=false
4: hit=true
8: hit=true
C: hit=true
10: hit=true
14: hit=true
18: hit=true
1C: hit=true
20: hit=true
24: hit=true
28: hit=true
2C: hit=true
30: hit=true
34: hit=true
38: hit=true
3C: hit=true
40: hit=false
44: hit=true
48: hit=true
4C: hit=true
50: hit=true
54: hit=true
58: hit=true
5C: hit=true
60: hit=true
64: hit=true
68: hit=true
6C: hit=true
70: hit=true
74: hit=true
78: hit=true
7C: hit=true
80: hit=false
84: hit=true
88: hit=true
8C: hit=true
90: hit=true
94: hit=true
98: hit=true
9C: hit=true
A0: hit=true
A4: hit=true
A8: hit=true
AC: hit=true
B0: hit=true
B4: hit=true
B8: hit=true
BC: hit=true
C0: hit=false
C4: hit=true
C8: hit=true
CC: hit=true
D0: hit=true
D4: hit=true
D8: hit=true
DC: hit=true
E0: hit=true
E4: hit=true
E8: hit=true
EC: hit=true
F0: hit=true
F4: hit=true
F8: hit=true
FC: hit=true
100: hit=false
104: hit=true
108: hit=true
10C: hit=true
110: hit=true
114: hit=true
118: hit=true
11C: hit=true
120: hit=true
124: hit=true
128: hit=true
12C: hit=true
130: hit=true
134: hit=true
138: hit=true
13C: hit=true
140: hit=false
144: hit=true
148: hit=true
14C: hit=true
150: hit=true
154: hit=true
158: hit=true
15C: hit=true
160: hit=true
164: hit=true
168: hit=true
16C: hit=true
170: hit=true
174: hit=true
178: hit=true
17C: hit=true
180: hit=false
184: hit=true
188: hit=true
18C: hit=true
190: hit=true
194: hit=true
198: hit=true
19C: hit=true
1A0: hit=true
1A4: hit=true
1A8: hit=true
1AC: hit=true
1B0: hit=true
1B4: hit=true
1B8: hit=true
1BC: hit=true
1C0: hit=false
1C4: hit=true
1C8: hit=true
1CC: hit=true
1D0: hit=true
1D4: hit=true
1D8: hit=true
1DC: hit=true
1E0: hit=true
1E4: hit=true
1E8: hit=true
1EC: hit=true
1F0: hit=true
1F4: hit=true
1F8: hit=true
1FC: hit=true
200: hit=false
204: hit=true
208: hit=true
20C: hit=true
210: hit=true
214: hit=true
218: hit=true
21C: hit=true
220: hit=true
224: hit=true
228: hit=true
22C: hit=true
230: hit=true
234: hit=true
238: hit=true
23C: hit=true
240: hit=false
244: hit=true
248: hit=true
24C: hit=true
250: hit=true
254: hit=true
